continent,country,state,city,postal_code,latitude,longitude,timezone,address,region
Africa,Burundi,Louisiana,Gracetown,,46.226645,-50.945031,Europe/Andorra,"846 Martin Circle Apt. 059, Port Christina, GU 17566",DE
Europe,Tajikistan,Massachusetts,Mindyfurt,98450,,96.575819,Europe/Oslo,"USS Nichols, FPO AA 66603",DC
Antarctica,Trinidad and Tobago,West Virginia,Millerland,05001,74.001965,-135.532887,Asia/Baku,"9119 Michelle Landing, New Benjamin, NM 51393",FM
Asia,Bangladesh,Alabama,Petersonside,67192,-2.8020785,86.965819,Pacific/Fiji,"033 Robert Fall Suite 036, Harperville, FM 59870",MS
South America,,Michigan,East Michele,15123,,18.094425,Africa/Mbabane,"5937 Sanchez Views, Huntchester, MP 10478",WA
Asia,Tokelau,West Virginia,Smithborough,35661,38.6966455,49.489480,Pacific/Auckland,"2579 Moore Gardens Suite 219, Aliciastad, NC 88990",GU
,British Virgin Islands,New York,South Angelabury,,61.261947,-34.075311,Europe/Monaco,"Unit 8525 Box 8353, DPO AA 07907",NC
Europe,Bosnia and Herzegovina,Indiana,Rushville,42556,-67.721180,-12.732068,Asia/Manila,,DC
Antarctica,Barbados,Georgia,Pierceview,63703,,66.644911,Europe/Prague,"624 Martinez Pine Suite 489, East Breanna, NV 85331",NC
Australia,Iran,Washington,Alexanderstad,50102,78.5644685,171.337990,Africa/Dar_es_Salaam,"518 William Green Suite 938, Castilloburgh, OH 31230",
Australia,,New Jersey,Josephmouth,13183,26.862652,27.512394,America/Monterrey,"PSC 7346, Box 3188, APO AP 52436",PR
South America,French Polynesia,Kentucky,New Jared,,37.030619,-98.542439,Europe/Riga,"9032 Johnson Shores Suite 238, North Crystalview, MO 53010",NC
North America,Canada,Georgia,Lake Charlotteport,93791,-46.6380425,-101.796116,Asia/Dubai,"91982 Michael Junction Suite 383, Port Victorialand, GA 54937",KY
South America,British Indian Ocean Territory (Chagos Archipelago),Arizona,,13339,-71.6163145,-128.110409,Asia/Karachi,"506 Andrew Junction Apt. 652, Lake Elizabethborough, NY 68089",IA
Antarctica,Gambia,Illinois,South Karen,50506,-40.286209,-0.953086,America/Jamaica,"650 Megan Lodge Apt. 683, South Richard, NE 91005",NH
Antarctica,Gambia,Iowa,Timothymouth,60923,-57.1679705,25.299100,,"8106 Raymond Ferry, Ryanton, MT 30230",
Antarctica,Bahamas,Kentucky,Josephmouth,20799,36.3351315,1.564227,Africa/Algiers,,NM
Australia,Argentina,Pennsylvania,East Mariahton,75769,-49.554534,45.080410,Africa/Khartoum,"40509 Tami Freeway, New Melaniestad, ID 37293",AR
Antarctica,Zambia,Montana,,01977,87.0538405,19.526824,Europe/Belgrade,"18380 Walker Wall Suite 387, West Angelafurt, VI 71025",VT
,Poland,,North Alexandrafurt,36378,-21.4332365,161.752344,Africa/Ouagadougou,"02561 Mark Fields Apt. 061, Port Christystad, ND 28551",MA
,Eritrea,Kansas,West Kristina,90273,-63.384288,116.544011,America/Caracas,"PSC 3896, Box 6136, APO AP 53962",PR
Africa,China,Delaware,South Veronica,65015,-16.4914615,56.231182,Europe/Podgorica,"6657 Roberson Centers Suite 428, Nicoleburgh, ND 38221",NE
South America,,Kentucky,South John,38977,-62.804883,,Africa/Bissau,,NE
North America,Trinidad and Tobago,Indiana,Dakotaborough,26823,-19.115555,26.580478,Africa/Gaborone,"71537 Perez Garden, East Amandahaven, LA 97666",NM
South America,Nicaragua,Iowa,Pennyport,76835,60.8233245,-0.377368,Europe/Monaco,"6135 Christina Dam, Lake Kevin, NH 89486",NV
,Guernsey,New Jersey,New Matthew,94662,-14.259143,90.605406,Africa/Brazzaville,,NJ
Antarctica,Malta,New Jersey,Davidtown,43900,-81.600218,-169.201571,America/St_Kitts,"608 Julia Glens, Reidmouth, WA 59553",MP
South America,Egypt,North Carolina,South Deborah,80023,-12.089593,170.006370,Asia/Brunei,"0696 Jacqueline Parks Apt. 645, Sheppardshire, AL 03007",NV
North America,Cocos (Keeling) Islands,Hawaii,Lake Brettfurt,,10.8876755,-138.083742,Atlantic/Reykjavik,"PSC 4278, Box 9984, APO AA 55946",MO
Europe,,New Jersey,New Jasonville,34497,-8.575462,75.488829,Africa/Lome,"USCGC Carroll, FPO AA 59443",NJ
South America,,Ohio,West Aliciaside,88799,,177.760669,Pacific/Port_Moresby,"352 Cobb Knoll, Danielfurt, MN 18009",WA
Asia,Palestinian Territory,New Mexico,,22793,10.479222,2.437850,America/Paramaribo,"6331 Humphrey Isle Apt. 933, Landryburgh, PR 01313",GA
South America,American Samoa,Alabama,South Chad,67230,-48.0883815,62.490272,Pacific/Efate,"567 Karen Overpass Apt. 270, Christopherfort, PA 60730",CO
Australia,Israel,Tennessee,Port Jay,28775,-71.816841,34.352316,America/Managua,"7276 Anderson Stream Apt. 262, West John, DC 15530",GA
,Australia,Delaware,Port Jesse,52139,48.3690535,-47.958641,Africa/Casablanca,"6921 Douglas Islands, Mackenziefurt, VT 86386",NC
Australia,Mongolia,California,Tiffanybury,48213,-74.7074585,-176.474678,Africa/Libreville,"38104 Rodriguez Points Apt. 052, Port Brianfort, VT 23417",OK
,New Zealand,Louisiana,New Megan,82478,44.2861295,-146.094673,,"342 Hurst Loop Apt. 211, Christianville, AL 51582",DC
Antarctica,Tokelau,Florida,North Allen,16577,-24.2634655,-3.298352,Asia/Dili,"180 Smith Mountains Suite 298, Brownville, NE 64681",
North America,Dominica,,East Angela,95416,-13.271620,-164.047519,,,
Africa,,New Hampshire,Nicolestad,10804,-13.4500075,-89.046764,Europe/Kaliningrad,"Unit 2238 Box 0067, DPO AP 44917",VI
Australia,Mayotte,Connecticut,Jenniferport,80655,73.048724,,Asia/Vientiane,"2135 Theresa Lakes, West Luis, NC 77284",
South America,Guyana,Oklahoma,West Nicolefurt,04219,-80.2499865,139.265988,Indian/Comoro,"232 David Locks, Jonesstad, HI 24698",
,,Maryland,West Linda,64429,-66.2364225,-90.443777,Europe/Belgrade,"7522 Murphy Fort Suite 555, North Martinport, ND 41847",WI
Australia,Turkey,,Hooverfort,17755,-71.875890,118.986450,Asia/Baghdad,"147 Barnes Lake Suite 235, North Anthony, UT 41725",MI
Africa,,Oregon,East Kaylachester,68992,29.0905785,123.641331,Africa/Sao_Tome,"2142 Elizabeth Parkways, Kevinhaven, DE 84877",CA
Antarctica,Andorra,South Dakota,,79299,19.283500,126.748680,Europe/Minsk,,WY
Australia,Malaysia,Massachusetts,Martinburgh,16974,45.451441,25.729879,Africa/Addis_Ababa,"71798 Leon Shoals Apt. 535, West Jeffery, WI 76550",VA
Europe,Romania,Colorado,Jenniferview,24593,75.582807,51.803459,Europe/Amsterdam,"953 Mccoy Inlet, New Travisbury, MD 30670",FL
South America,Zimbabwe,Massachusetts,West Elizabethstad,09982,-4.948225,,Asia/Dubai,"74425 Davis Green, East Anthony, IL 28763",NY
Africa,Gabon,,Irwinstad,93845,-42.627859,66.178659,Pacific/Tongatapu,"USNV Leonard, FPO AE 55359",RI
,Nicaragua,,Jefferyhaven,30959,-58.238311,27.283900,Africa/Ouagadougou,"699 Kristina Prairie Apt. 356, West Nicole, AK 18797",CA
Australia,Seychelles,Alaska,West Amberfurt,39896,-3.021012,94.096154,Indian/Comoro,"939 Moore Row, New Kimberly, CA 63899",OK
Asia,Swaziland,Michigan,Watsonland,,84.906643,-128.852287,,"6503 Michael Mountains, North Tamaraview, NE 42900",KY
Antarctica,Uganda,New Hampshire,,,34.7129195,-116.744925,Europe/Skopje,"232 Murray Garden, Wongborough, RI 96530",
Asia,Northern Mariana Islands,,Smithstad,64589,-76.2982295,,Europe/Riga,"7908 Joshua Dam, Odomtown, WA 65844",OH
Europe,,Louisiana,Lake Jennifer,21322,-64.9638575,15.964744,Africa/Lagos,"9483 Robbins Road, Lake Angelaland, NJ 88036",DC
Antarctica,Uruguay,Colorado,North Kendraville,25038,-33.791518,-122.284766,Europe/Riga,"7108 Johnson Square Suite 001, East Brittanyport, TN 26032",NH
South America,Singapore,Michigan,Port Alanstad,66068,-30.421922,-161.015748,America/Panama,"542 Morrow Shoal Suite 380, Reevesshire, WI 33689",MP
Europe,Liechtenstein,South Carolina,Kingburgh,69132,-58.465812,,Pacific/Kiritimati,"977 Parks Walk, West Georgemouth, OK 59035",VI
Antarctica,Congo,Massachusetts,Sanchezport,59608,,-12.096051,Asia/Kuching,"5583 Patricia Villages, Jessicaport, MO 69759",MI
Africa,Singapore,Mississippi,Jenniferland,77607,,-160.086168,Europe/Rome,"6936 Jones Overpass, Christinaville, CO 67250",NC
North America,Togo,Arkansas,Port Kathleenton,91887,-47.9976555,-163.525422,America/Belize,"91264 John Coves Suite 139, Cartermouth, ND 49222",PR
North America,Palestinian Territory,Washington,Luisview,50571,18.986946,75.741360,Europe/Budapest,"Unit 1575 Box 2438, DPO AP 16690",NJ
Australia,Bolivia,New Mexico,East Angela,95846,19.7640685,56.890516,America/Tegucigalpa,"04021 Ryan Haven, Beasleyshire, ID 52513",FL
Africa,Kazakhstan,Arkansas,Bergberg,83271,-29.665796,,America/Guayaquil,"3631 Kathleen Park, South Jacqueline, DE 35148",TN
,United States Minor Outlying Islands,Connecticut,North Jill,59977,24.2577615,57.163304,Indian/Mahe,"8162 Richard Estate Apt. 830, Chavezhaven, NC 58768",FL
Africa,New Caledonia,Indiana,West William,79241,-43.2015615,-148.085535,Indian/Mahe,"549 Willis Stream Apt. 263, Lake Jasmineton, MO 26937",AR
South America,Montenegro,Rhode Island,Kimberlyport,06362,78.641223,-170.222063,Asia/Calcutta,"78285 Blackwell Key Apt. 447, North Jonathan, SC 52595",
Australia,Saint Helena,,Richardberg,78545,30.3888585,-114.565266,Africa/Ouagadougou,"4335 Salazar Camp Apt. 178, New Johnbury, FM 51691",MA
Asia,Madagascar,Mississippi,,08089,6.3665625,142.191528,Europe/Berlin,"5917 Dana Falls, Jenniferborough, NE 47219",AL
Asia,Slovakia (Slovak Republic),,West Jennifer,,67.2842555,-25.885147,Africa/Maputo,"1189 Lauren Divide Apt. 709, North Julie, NH 89279",
Antarctica,China,Oregon,,87462,-25.3508085,41.058609,America/St_Kitts,"7793 Lester Vista, Hawkinsfurt, VT 50883",DE
Antarctica,Palau,Oklahoma,Michelleberg,32430,-51.831125,114.293948,Africa/Kampala,"417 Joshua Plains Apt. 783, New Denise, KS 38900",MP
Antarctica,Uruguay,Massachusetts,New Ronaldstad,58567,-65.155301,-141.115701,Indian/Comoro,"9987 Chambers Hollow Suite 837, Grayshire, CO 37722",SD
Asia,Mauritania,Kansas,East Terryfurt,16142,-24.5657885,-74.209472,Europe/Andorra,"07295 Steven Flats, Martinborough, CT 19774",DE
North America,Oman,Oregon,Curtisview,42699,-53.794017,174.328934,America/Belize,,NH
North America,,,North Brandon,20769,-73.3395785,-12.869978,America/Port_of_Spain,"06434 Martin Green, West Sheryl, CT 96978",TX
,Peru,Alabama,,04137,75.4606715,-105.151287,Europe/Berlin,,TN
South America,,Delaware,North Melanieside,33268,85.5820905,160.126252,Europe/Copenhagen,"PSC 8510, Box 9542, APO AA 17673",DC
South America,Macao,South Carolina,Youngfurt,,-28.9499195,-177.133023,Africa/Mogadishu,"943 Bennett Place, Lake Christopher, HI 91140",ND
Africa,Spain,,Thompsonside,99741,47.896314,1.462059,America/Panama,"3402 Gabriel Corners Suite 610, Aliciamouth, SD 79031",AK
Africa,Niger,Wisconsin,Lake Troy,41337,-60.9099565,-78.791225,Europe/London,"578 Jones Village, Christianshire, MS 30676",AR
South America,Botswana,Maine,Lake Matthewside,43198,7.1670675,-94.682824,America/Havana,"590 Johnson Highway Suite 181, North Nancychester, PR 44503",PA
Europe,Guyana,New Jersey,East Laurenbury,42152,-32.9357735,-130.467335,,"16996 Friedman Gateway Suite 372, Lake Shaun, PW 55462",FM
Antarctica,Trinidad and Tobago,New Mexico,Stevensshire,72683,-51.356379,105.343261,Asia/Seoul,"34052 Jenkins Light Suite 561, Derekburgh, MA 39135",ID
North America,,Illinois,East Vanessaberg,40120,-39.3926595,-29.558678,Africa/Nairobi,"087 Sarah Garden, Billyside, MS 84654",HI
North America,Venezuela,Maryland,East Cheryl,73282,34.0970915,123.397041,Africa/Bujumbura,"Unit 5821 Box 9936, DPO AE 90836",FM
North America,Grenada,Illinois,Schaeferbury,68952,81.7524995,62.855910,Europe/San_Marino,"37386 Miranda Junction, Medinaview, PA 99267",AR
North America,Antarctica (the territory South of 60 deg S),Maine,Phillipsport,62046,16.5111865,-124.948681,America/Jamaica,"88324 Taylor Park, Turnermouth, MI 16555",MP
Europe,Grenada,Texas,New Garyfort,,38.061199,10.613456,Pacific/Port_Moresby,"06120 James Mountains Suite 060, East Christina, NV 79714",SC
,Jordan,North Dakota,North Jessica,57940,31.806968,119.784015,Asia/Dhaka,"853 William Haven, South Jamestown, IN 88345",HI
Australia,Serbia,Louisiana,Lake Mary,20052,-78.243125,-179.916076,Pacific/Palau,"50073 Cole Orchard, Kathleenhaven, FL 94312",SD
Europe,Palau,Michigan,Tylerland,53617,57.563950,-99.257222,Pacific/Easter,"4487 Carol Centers, Jessicafurt, GA 91829",UT
Australia,Mayotte,Minnesota,Wrightfurt,84816,48.2886725,36.457916,Africa/Luanda,"712 John Pass, West Kristenshire, ND 62320",MP
Antarctica,Cyprus,Iowa,South Kim,21321,,-73.272332,,,
,United States of America,Ohio,Leeshire,61677,-61.4366695,-174.042993,,,NH
Australia,Sierra Leone,Pennsylvania,North Joefort,,16.2210785,106.205778,Africa/Maputo,"7573 Anne Hill Apt. 133, Hayesmouth, CT 67792",UT
,Namibia,Iowa,East Daniel,,60.141185,72.593259,Asia/Hovd,"53389 Garrett Locks, Jonathanview, MD 23351",ND
Africa,,,North Lindaborough,67434,3.374784,-28.194950,Pacific/Truk,"257 Jones Heights Suite 397, North Erika, TN 14206",GU
South America,Guatemala,Idaho,South Sonya,77238,-21.7496165,43.632079,Asia/Jerusalem,"35898 Peterson Circle Apt. 831, West Kennethview, ND 52952",VA
Australia,Austria,New York,Walkerborough,76967,50.1845015,152.252356,Pacific/Enderbury,"457 Johnson Mission, New Tamaraport, NH 11133",AS
Africa,Morocco,,Scottton,80903,-12.0002255,-73.855086,America/Caracas,"038 James Keys, Port Elizabeth, WV 43182",CT
,Greenland,Utah,Edwardsfurt,77076,-74.0478135,,Africa/Bamako,"7886 Maria Land Suite 102, Port Eric, CA 12132",AZ
Europe,Marshall Islands,South Dakota,West Scott,75780,52.695119,62.586662,Africa/Windhoek,"0268 Lopez Mountain, New Thomasstad, WI 37549",VT
North America,Sao Tome and Principe,,Michaelburgh,67447,69.0269485,-84.350794,Asia/Aden,"697 Beth Route Apt. 477, Port Jonathanside, MH 06292",HI
Europe,Cambodia,Alabama,Alexiston,89014,,-179.500167,Africa/Brazzaville,"9347 Smith Mews Suite 849, Martinville, MH 00544",FM
,Maldives,Virginia,Kathleenville,,-19.829614,-116.169025,Africa/Tunis,"Unit 3226 Box 3708, DPO AA 49921",LA
,Isle of Man,Virginia,West Kelly,74512,-48.890389,-39.925929,Africa/Monrovia,"82613 Michael Valley Suite 071, North David, WA 95314",VI
Africa,Italy,Alaska,North Alison,58365,22.750352,71.303412,Africa/Ouagadougou,"Unit 1686 Box 3486, DPO AP 51621",VT
Africa,Italy,Nebraska,West Stevenmouth,47830,65.613785,157.619410,Asia/Dushanbe,"3791 Wood Corner Apt. 175, Elizabethside, KY 27520",AR
Australia,Pitcairn Islands,Mississippi,Danielmouth,76400,-87.507392,1.537500,Asia/Gaza,"1026 Davis Isle, South Michaelside, SD 72990",AR
Australia,Bhutan,Iowa,East Michaelborough,30809,80.6513185,,Africa/Brazzaville,"151 Robinson Ridge, Port Amberside, MN 39188",FM
Antarctica,Andorra,Idaho,Katieside,79125,,85.107112,Europe/Minsk,"63046 Fitzpatrick Pass Apt. 791, Smithburgh, TN 56825",WA
Europe,,Washington,,02446,-53.230892,,Europe/Riga,"27680 Gomez Skyway Suite 415, Stephanieview, HI 89123",ID
Africa,Benin,California,Riceville,96280,56.024036,144.782395,Europe/Stockholm,"401 Thomas Forges, South Michaelside, MS 80322",OK
Asia,Bouvet Island (Bouvetoya),Maryland,South Jenniferborough,,-48.495547,-62.977297,Africa/Djibouti,,MA
Africa,Tajikistan,Georgia,Johnsonfurt,53429,34.4071525,80.946585,Africa/Douala,"53913 Jackson Squares Apt. 649, Milestown, OR 88139",MS
Asia,Greece,Louisiana,Brittanystad,54687,4.071061,158.596378,Europe/Prague,"764 Michael Lodge, Williamstad, WI 14691",UT
South America,Cyprus,Alabama,Johnsonburgh,61414,,77.038476,America/Barbados,"94212 Lewis Club Suite 856, Davidstad, OR 37927",ND
North America,Central African Republic,New Jersey,South Maryton,89444,-27.5779315,-156.433781,Asia/Amman,"82770 Robinson Manors, West Daniel, MI 90704",FM
Antarctica,Solomon Islands,New Jersey,Sotoville,38161,-9.079808,-74.981172,Europe/Belgrade,"75483 Parks Shores Apt. 296, East Joelborough, CA 46203",MS
Antarctica,Vietnam,New Jersey,Jenningsmouth,70621,67.962938,-62.141531,Asia/Seoul,"Unit 2701 Box 8622, DPO AE 70095",
Asia,Saint Helena,Wisconsin,Perezmouth,97479,,137.858773,Africa/Lusaka,"175 Franklin Summit, Jasmineview, AZ 50756",NM
South America,Hong Kong,Indiana,North Tammy,59655,81.7681795,,Africa/Bangui,,OK
Africa,Tunisia,Pennsylvania,Joseberg,20563,,-56.623395,Pacific/Funafuti,"USNV Evans, FPO AP 28229",
North America,Burkina Faso,Pennsylvania,Kristinshire,,-50.8828815,86.718781,Asia/Riyadh,"22952 Sarah Manors Suite 146, North Dawnburgh, AL 96587",WV
,Iceland,Tennessee,Ashleyton,,-73.3769845,-91.562195,America/Nome,"USNV West, FPO AP 54552",
Australia,Djibouti,Alaska,West Nicoleberg,09422,-14.9533985,,Africa/Nouakchott,"1559 Stephen Track Apt. 978, Daisychester, PW 34524",CT
South America,Chile,,Jasonview,42117,-1.5963825,-38.384439,America/Tegucigalpa,"4666 Billy Road, Kennedystad, TX 28003",FM
Asia,,Maryland,Garyton,63358,,95.632245,Asia/Samarkand,"2863 Sandra Common Apt. 234, East Cristina, MO 49610",CT
Europe,Marshall Islands,Delaware,Damonbury,07019,47.4586835,-99.968862,Asia/Taipei,"767 Peterson Cliff Apt. 651, South Williamchester, WY 62271",IA
North America,Israel,Louisiana,Port Jade,44057,77.281354,96.009834,Europe/Zurich,"176 Henderson Village, New Annberg, DE 75993",MT
Europe,Martinique,North Dakota,North Wesleyside,25101,-36.915204,,Europe/Zagreb,"098 Brennan Fall Apt. 862, West Taylor, PW 26924",RI
Europe,Switzerland,,East Christopherside,21497,,59.048878,America/Managua,"616 Bethany Coves, North Stevenburgh, OR 25556",
Africa,Dominican Republic,Ohio,Kimberlymouth,94021,,150.630546,America/Indiana/Vevay,"6185 Thomas Union, Kellyshire, ID 10820",
North America,Ireland,Nebraska,Reyesland,,-40.6818495,-88.036216,,"512 Perez Parkway, West Morgan, VA 30142",DC
Australia,Bahrain,Indiana,,59329,53.4781445,161.143628,America/La_Paz,"386 Johnson Causeway, South Amytown, IN 68700",NE
,,Florida,Shermanmouth,09018,-75.0019845,-120.007599,Asia/Vientiane,"930 Henderson Pine Apt. 403, Lake Jenniferview, ME 97510",AK
Asia,,Maryland,South Katherinefort,51385,9.9491125,78.459471,,"6471 Rachel Mews, Deanchester, IN 46515",NE
Africa,Mauritius,Massachusetts,South Shannon,37611,-75.2140385,140.837385,Africa/Asmera,"8814 Brown Unions, Aaronborough, NM 67122",AR
,Bermuda,Arizona,South Kristiestad,32302,-3.0243835,-15.880498,,"1990 Samuel Valleys Suite 548, North Jaimefort, GA 95671",DC
North America,Tunisia,Kansas,Courtneymouth,,36.7797095,-126.692410,America/Nassau,"4587 Karen Pine Apt. 864, Moyershire, UT 30040",ID
Antarctica,,Florida,Floresshire,,-34.731242,-6.397327,Asia/Vientiane,"444 Williams Branch, Port Crystal, OR 14052",PR
Antarctica,United States of America,Pennsylvania,,64526,81.6578175,132.773432,Africa/Blantyre,"5567 Michael Plaza, Foleymouth, MD 31452",SC
Asia,Micronesia,Oregon,Lake Kevin,53129,-65.8073035,-59.438128,Asia/Phnom_Penh,"867 Stephanie Light, Port Pamela, ME 96079",SC
Africa,Guinea,Louisiana,East Juanland,45137,-9.0101605,45.842377,,"122 Ashley Knoll Suite 369, East Brucemouth, NM 65025",IA
Europe,Nauru,Nevada,Port Courtneyburgh,81964,48.507389,10.351189,,"6807 Rivera Canyon, Williamsberg, SD 88795",PA
Europe,Ethiopia,Texas,South Brittanyview,07345,87.8724855,84.949439,Africa/Accra,"23750 Sullivan Highway Apt. 802, Anthonyburgh, NJ 48300",KY
Australia,Bolivia,New Hampshire,Tarabury,17580,25.306906,95.573203,Africa/Harare,"42217 Jordan Crest Suite 957, Jeffreychester, NH 74187",CT
North America,Mongolia,,Jennifermouth,44006,39.9651555,-98.644000,Europe/Paris,"50607 Thompson Knolls, East Robertberg, PR 32523",WY
Antarctica,Portugal,Oklahoma,,69879,23.259182,111.237787,Africa/Bangui,"508 Martin Ridge, North Edwardhaven, MA 37699",MT
Asia,Czech Republic,Oklahoma,New Davidtown,50060,27.792949,-117.059553,Asia/Karachi,,MT
Australia,,Idaho,Griffinview,07536,60.0685505,25.193861,Europe/Athens,"7453 Chad Tunnel, Angelafort, KY 21382",RI
South America,Brunei Darussalam,West Virginia,Madelineton,57206,66.6479965,-62.939302,,"414 Baker Courts Suite 101, South Thomas, ND 67502",LA
Australia,Brazil,Arizona,Rodriguezshire,13571,-69.4132275,-113.127930,Europe/Chisinau,"2836 Sara Rest Apt. 908, Brightville, MH 92986",VI
Europe,Guam,Connecticut,New Garrettstad,08937,,154.433566,Asia/Seoul,"2706 Janice Trail, East Julie, VI 56542",
Antarctica,Uganda,,,29363,-23.5567385,-53.771337,Pacific/Kiritimati,"288 Randy Trace, Lake Michael, MT 84354",
Antarctica,Latvia,Ohio,Calderonland,31635,31.767159,114.956782,America/Asuncion,"8800 Carol Village Apt. 035, East Johnnyburgh, WY 09852",
Europe,Puerto Rico,Montana,Cardenasbury,13736,-87.3489955,-77.968587,Asia/Thimphu,"4201 Julia Station Apt. 037, North Mark, AK 85935",IN
Africa,South Africa,Minnesota,Jenkinsshire,04807,30.5136095,-159.068849,Asia/Karachi,"7976 Ellis Isle, New Amberbury, FL 30590",
Australia,Madagascar,Delaware,Robinsonmouth,55429,-61.8122075,20.437076,Asia/Yerevan,"1209 Kenneth Walks, Taylorton, CT 54529",GU
South America,Tunisia,,New Susanborough,26602,-24.087520,98.903518,America/Jamaica,"861 Armstrong Walk Apt. 470, South Kelsey, GA 55039",TN
Antarctica,Bahamas,Rhode Island,Rodriguezmouth,43721,-19.6974705,104.456729,Asia/Baghdad,"05255 Griffith Rue Suite 269, West Cassandraborough, NM 97701",AS
North America,Gibraltar,Texas,Erikaton,77834,48.8473155,10.111506,Europe/Zagreb,"PSC 8727, Box 3620, APO AE 85076",MN
,Monaco,Maine,Quinnberg,65975,61.5800625,86.384781,America/Antigua,"4588 Christopher Estate Suite 989, Lake Michaelmouth, TX 90482",MS
North America,Tajikistan,Kentucky,Lake Jamesside,37880,-41.9493305,57.044457,Europe/Sofia,"0276 Matthew Trace Suite 719, Lake Joanne, VI 17992",IL
North America,Nicaragua,Texas,Adamfort,23013,6.197205,39.038582,Asia/Riyadh,"649 Welch Street, South Jose, NY 35688",IN
Europe,Italy,Washington,Davidborough,89885,-0.230609,6.699515,Europe/Rome,"610 Ashley Ridges, Avilachester, NH 13103",DE
Antarctica,Turks and Caicos Islands,Georgia,Port Brittany,72022,25.5129565,83.566265,America/Port_of_Spain,"1326 Mcintyre Locks Suite 445, North Jimmy, NJ 82919",SC
Australia,Swaziland,Hawaii,,74858,-19.7615015,-167.501014,Africa/Mogadishu,"48685 Gibbs Manors Suite 454, Amandastad, IL 07591",NC
,Christmas Island,,Lake Bridgetborough,08209,48.182147,-138.994772,Africa/Bangui,"402 Steven Locks, Mitchellport, NV 11356",PR
Antarctica,Rwanda,Texas,Wilsonmouth,57226,-83.3278485,-9.074219,Asia/Dubai,,FM
Europe,,Kentucky,,,-89.784500,162.207168,Europe/London,"95547 Denise Rue Apt. 448, South Lisafurt, AZ 61233",WA
Australia,Peru,New Mexico,Krystalport,14647,67.564427,-110.680118,Europe/Stockholm,"0294 Pitts Heights, East Meganmouth, CT 60707",NY
North America,Egypt,Maryland,North Rebecca,58410,44.6333135,-134.397585,Europe/Dublin,"2385 Booth Walk Apt. 836, Dickersonton, ID 92123",ME
Australia,,Colorado,Julieport,70167,-31.162555,-36.750845,Europe/Riga,"42326 Patricia Common, Hillborough, DC 68458",MS
North America,Jamaica,Colorado,Kellymouth,11575,87.2441485,-134.153024,,"PSC 5516, Box 2514, APO AE 09619",MP
Africa,Romania,Rhode Island,North Cynthia,66689,0.9410275,154.185289,Pacific/Auckland,,FM
Antarctica,Norfolk Island,Vermont,Michaelville,,-60.392102,-44.154653,Africa/Djibouti,"578 Arnold Harbor Apt. 576, West Micheal, FM 86516",OK
Antarctica,Cook Islands,Virginia,,82495,-16.6561015,-34.513864,Europe/Vaduz,"145 Rebecca Courts Apt. 641, Arthurtown, KY 54152",FL
North America,Spain,Virginia,Hartmanfort,63132,59.8950935,153.005458,Asia/Jerusalem,"353 Wilkins Streets, Trevortown, SC 95788",MI
South America,Guyana,Wisconsin,Valenzuelahaven,60915,22.237179,-16.156741,Europe/Ljubljana,"USNS Parks, FPO AA 47082",FL
Africa,Iran,Louisiana,Olsonstad,59206,,138.898809,Pacific/Galapagos,"438 Jonathan Row Apt. 931, Lake Vanessaton, PA 11710",
Africa,Holy See (Vatican City State),Maryland,Paulfort,52729,81.5408385,-16.079128,Asia/Calcutta,"42645 Nathaniel Orchard, Lake Eric, AS 39610",IA
Asia,Western Sahara,Nevada,Debratown,75825,-57.787823,142.257994,Europe/Malta,"13010 James Row, Brownstad, MI 17204",NY
South America,Bhutan,South Carolina,Drakebury,91557,65.289557,-103.151047,Africa/Lagos,,AS
Australia,Mexico,Louisiana,,39258,22.145871,54.022792,Africa/Ouagadougou,"87142 Alexander Brooks, West Brenda, OH 47104",
North America,Bolivia,Pennsylvania,Krystalside,53140,,157.844292,Asia/Dhaka,"125 Marcus Island, Lake Edwardport, CT 66475",PA
Asia,,Michigan,West Denise,90235,-3.131493,9.845837,Europe/Andorra,"Unit 8267 Box 0546, DPO AP 08457",MI
Antarctica,Congo,,South Laurenberg,54704,-16.332576,,Indian/Mahe,"626 Alexander Flats Suite 975, Shanetown, AR 67213",PW
South America,Jersey,Arizona,Rogersstad,03068,-67.9694675,114.030835,Asia/Damascus,"6004 Joseph Path, South Dawnberg, UT 15797",AS
Africa,Svalbard & Jan Mayen Islands,Utah,Lake Melvinmouth,,-52.7700415,,America/Paramaribo,"285 Elizabeth Trail, Tristanview, KS 93844",RI
Antarctica,Saint Kitts and Nevis,Mississippi,West Anntown,36924,-64.3563855,-143.048853,Europe/Rome,"174 Ashley Creek, East Henry, IL 00919",OK
South America,Syrian Arab Republic,Hawaii,South Melinda,50360,-40.4846545,116.948133,Africa/Harare,"07243 Beth Islands, North Lee, CT 19756",NJ
North America,,Nevada,,33913,-30.866816,154.320831,,,GA
Europe,Korea,Kansas,North Emilyberg,47272,14.036352,-1.028674,Africa/Kampala,"83989 Wallace Flat Suite 451, Davisfurt, CA 72930",AZ
,Cook Islands,Maryland,,18468,4.3452105,9.214880,Europe/Istanbul,"470 Davis Ramp Apt. 011, Banksborough, KS 02614",MA
Australia,Jordan,Idaho,Lake Tara,08592,70.9044445,89.955567,Asia/Damascus,"Unit 1494 Box 7527, DPO AA 63854",
